"","Variables","VIF"
"1","fixed.acidity",4.84617186183889
"2","volatile.acidity",1.96720843611809
"3","citric.acid",1.66243878543109
"4","residual.sugar",6.42360000606975
"5","chlorides",1.62317337019326
"6","free.sulfur.dioxide",2.15744122368395
"7","total.sulfur.dioxide",2.9321441167012
"8","density",14.7278467133001
"9","pH",2.48487359323851
"10","sulphates",1.5353661571578
"11","alcohol",4.53667171841577
